,index,token_address,id,user,status,uri,name,description,image_url,metadata,collection,created_at,updated_at,god,set,mana,type,image,proto,tribe,attack,effect,health,rarity,quality,ETH amount,USD amount
0,0,0xacb3c6a43d15b907e8433077b6d38ae40936fe2c,0x5b1611ac3d589dccb738ebc1de062a069b124baf2cf912cc0ab69669dce6d3fa,0x1220e048b0174ad09a2ab8cade8845f444d44e54,imx,,Fortified Acropolis,,https://card.godsunchained.com/?id=889&q=2,"{'god': 'neutral', 'set': 'trial', 'mana': 6, 'name': 'Fortified Acropolis', 'type': 'card', 'image': 'https://card.godsunchained.com/?id=889&q=2', 'proto': 889, 'tribe': 'structure', 'attack': 3, 'effect': 'Backline. Ward.<br>Ability: Deal X+2 damage, where X is the number of Structures you control.', 'health': 6, 'rarity': 'epic', 'quality': 'Gold'}","{'name': 'Gods Unchained', 'icon_url': None}",2021-05-05T03:06:31.731436Z,2021-05-05T03:07:23.201208Z,neutral,trial,6,card,https://card.godsunchained.com/?id=889&q=2,889,structure,3,"Backline. Ward.<br>Ability: Deal X+2 damage, where X is the number of Structures you control.",6,epic,Gold,0.015,62.662800000000004
1,1,0xacb3c6a43d15b907e8433077b6d38ae40936fe2c,0x0156e759378489a33e4d32fb63369ba251fc5a9ba47489321a3668921306990e,0x1220e048b0174ad09a2ab8cade8845f444d44e54,imx,,Stolen Plans,,https://card.godsunchained.com/?id=848&q=4,"{'god': 'deception', 'set': 'trial', 'mana': 1, 'name': 'Stolen Plans', 'type': 'card', 'image': 'https://card.godsunchained.com/?id=848&q=4', 'proto': 848, 'attack': 0, 'effect': ""Target an opponent.<br>Delve a card belonging to<br>that god's domain.<br>(The domains are Death, Deception, Light, Magic, Nature, and War.)"", 'health': 0, 'rarity': 'common', 'quality': 'Meteorite'}","{'name': 'Gods Unchained', 'icon_url': None}",2021-05-04T19:34:38.638059Z,2021-05-04T19:35:08.236417Z,deception,trial,1,card,https://card.godsunchained.com/?id=848&q=4,848,,0,"Target an opponent.<br>Delve a card belonging to<br>that god's domain.<br>(The domains are Death, Deception, Light, Magic, Nature, and War.)",0,common,Meteorite,6e-05,0.2506512
2,2,0xacb3c6a43d15b907e8433077b6d38ae40936fe2c,0x263ffcb5b074fcbc068bd9157a3c8d0cc7a495dc65e05d8af9f761d5936c05b9,0x1220e048b0174ad09a2ab8cade8845f444d44e54,imx,,Larcenous Pan,,https://card.godsunchained.com/?id=851&q=4,"{'god': 'deception', 'set': 'trial', 'mana': 2, 'name': 'Larcenous Pan', 'type': 'card', 'image': 'https://card.godsunchained.com/?id=851&q=4', 'proto': 851, 'tribe': 'nether', 'attack': 1, 'effect': 'Hidden. Flank. <br>When this creature attacks a god, steal 3 of their favor. (You also gain favor for attacking.)', 'health': 3, 'rarity': 'common', 'quality': 'Meteorite'}","{'name': 'Gods Unchained', 'icon_url': None}",2021-05-04T19:34:37.34462Z,2021-05-04T19:35:08.148218Z,deception,trial,2,card,https://card.godsunchained.com/?id=851&q=4,851,nether,1,"Hidden. Flank. <br>When this creature attacks a god, steal 3 of their favor. (You also gain favor for attacking.)",3,common,Meteorite,1.5e-05,0.0626628
3,3,0xacb3c6a43d15b907e8433077b6d38ae40936fe2c,0x42dd0bca203a5b74d2bb1eb3fdde0ebf91c78ea98c7980fa14eb0c72a1a57910,0x1220e048b0174ad09a2ab8cade8845f444d44e54,imx,,Frenzied Ritual,,https://card.godsunchained.com/?id=836&q=4,"{'god': 'nature', 'set': 'trial', 'mana': 4, 'name': 'Frenzied Ritual', 'type': 'card', 'image': 'https://card.godsunchained.com/?id=836&q=4', 'proto': 836, 'attack': 0, 'effect': 'Deal 12 damage to a random enemy creature and to a random friendly creature. Add a random Nature card to your hand.', 'health': 0, 'rarity': 'common', 'quality': 'Meteorite'}","{'name': 'Gods Unchained', 'icon_url': None}",2021-05-04T19:34:36.055796Z,2021-05-04T19:35:08.162884Z,nature,trial,4,card,https://card.godsunchained.com/?id=836&q=4,836,,0,Deal 12 damage to a random enemy creature and to a random friendly creature. Add a random Nature card to your hand.,0,common,Meteorite,2.7e-05,0.11279304000000001
4,4,0xacb3c6a43d15b907e8433077b6d38ae40936fe2c,0x185bcb0d5395846999f0c2f58d8751cf098689e3ae9b6a6df90c4f521517c3e2,0x1220e048b0174ad09a2ab8cade8845f444d44e54,imx,,Satyr Outcast,,https://card.godsunchained.com/?id=894&q=4,"{'god': 'neutral', 'set': 'trial', 'mana': 1, 'name': 'Satyr Outcast', 'type': 'card', 'image': 'https://card.godsunchained.com/?id=894&q=4', 'proto': 894, 'tribe': 'mystic', 'attack': 1, 'effect': 'Roar: Give ward to your god, and gain 1 favor.', 'health': 3, 'rarity': 'common', 'quality': 'Meteorite'}","{'name': 'Gods Unchained', 'icon_url': None}",2021-05-04T19:34:34.77386Z,2021-05-04T19:35:08.364348Z,neutral,trial,1,card,https://card.godsunchained.com/?id=894&q=4,894,mystic,1,"Roar: Give ward to your god, and gain 1 favor.",3,common,Meteorite,4.4e-05,0.18381088
5,5,0xacb3c6a43d15b907e8433077b6d38ae40936fe2c,0xe994a530111c2ac05721262f96d385de581e2da72e5b23ab6b40f1b4d8c4576d,0x1220e048b0174ad09a2ab8cade8845f444d44e54,imx,,Tartessian Mob,,https://card.godsunchained.com/?id=911&q=4,"{'god': 'war', 'set': 'trial', 'mana': 7, 'name': 'Tartessian Mob', 'type': 'card', 'image': 'https://card.godsunchained.com/?id=911&q=4', 'proto': 911, 'tribe': 'olympian', 'attack': 3, 'effect': ""Roar: Summon two copies of this creature.<br>Afterlife: Deal this creature's strength as damage, split randomly among all enemy creatures."", 'health': 2, 'rarity': 'rare', 'quality': 'Meteorite'}","{'name': 'Gods Unchained', 'icon_url': None}",2021-05-04T19:34:33.487301Z,2021-05-04T19:35:08.186649Z,war,trial,7,card,https://card.godsunchained.com/?id=911&q=4,911,olympian,3,"Roar: Summon two copies of this creature.<br>Afterlife: Deal this creature's strength as damage, split randomly among all enemy creatures.",2,rare,Meteorite,0.00041,1.7127832
6,6,0xacb3c6a43d15b907e8433077b6d38ae40936fe2c,0x1b50933131c56a950c79213d20d4b194a8c432ab339726b82bff98ae05c44635,0x1220e048b0174ad09a2ab8cade8845f444d44e54,imx,,Selena's Bow,,https://card.godsunchained.com/?id=832&q=3,"{'god': 'nature', 'set': 'trial', 'mana': 3, 'name': ""Selena's Bow"", 'type': 'card', 'image': 'https://card.godsunchained.com/?id=832&q=3', 'proto': 832, 'attack': 0, 'effect': 'After you play a Nature card,<br>add 1 durability to this relic.<br>Ability: Deal 2 damage to a random enemy creature, then remove 2 durability from this relic.', 'health': 4, 'rarity': 'legendary', 'quality': 'Shadow'}","{'name': 'Gods Unchained', 'icon_url': None}",2021-05-04T19:34:32.193904Z,2021-05-04T19:35:08.348074Z,nature,trial,3,card,https://card.godsunchained.com/?id=832&q=3,832,,0,"After you play a Nature card,<br>add 1 durability to this relic.<br>Ability: Deal 2 damage to a random enemy creature, then remove 2 durability from this relic.",4,legendary,Shadow,0.022,91.90544
7,7,0xacb3c6a43d15b907e8433077b6d38ae40936fe2c,0x57290abb608727a3514faa3771490dfcf5872ee32075000fcb5ea8929895751c,0x1220e048b0174ad09a2ab8cade8845f444d44e54,imx,,Dryad Seer,,https://card.godsunchained.com/?id=839&q=3,"{'god': 'nature', 'set': 'trial', 'mana': 2, 'name': 'Dryad Seer', 'type': 'card', 'image': 'https://card.godsunchained.com/?id=839&q=3', 'proto': 839, 'tribe': 'amazon', 'attack': 1, 'effect': 'Afterlife: Add a random Nature card to your hand.', 'health': 2, 'rarity': 'common', 'quality': 'Shadow'}","{'name': 'Gods Unchained', 'icon_url': None}",2021-05-04T19:34:30.906324Z,2021-05-04T19:35:08.167606Z,nature,trial,2,card,https://card.godsunchained.com/?id=839&q=3,839,amazon,1,Afterlife: Add a random Nature card to your hand.,2,common,Shadow,0.00023,0.9608296000000002
8,8,0xacb3c6a43d15b907e8433077b6d38ae40936fe2c,0xf788c2723376e517cd8fe421e75fb8bbd678bd1a8de4b1f517a2e4335396fae1,0x1220e048b0174ad09a2ab8cade8845f444d44e54,imx,,Stolen Plans,,https://card.godsunchained.com/?id=848&q=4,"{'god': 'deception', 'set': 'trial', 'mana': 1, 'name': 'Stolen Plans', 'type': 'card', 'image': 'https://card.godsunchained.com/?id=848&q=4', 'proto': 848, 'attack': 0, 'effect': ""Target an opponent.<br>Delve a card belonging to<br>that god's domain.<br>(The domains are Death, Deception, Light, Magic, Nature, and War.)"", 'health': 0, 'rarity': 'common', 'quality': 'Meteorite'}","{'name': 'Gods Unchained', 'icon_url': None}",2021-05-04T19:34:29.624692Z,2021-05-04T19:35:08.165629Z,deception,trial,1,card,https://card.godsunchained.com/?id=848&q=4,848,,0,"Target an opponent.<br>Delve a card belonging to<br>that god's domain.<br>(The domains are Death, Deception, Light, Magic, Nature, and War.)",0,common,Meteorite,6e-05,0.2506512
9,9,0xacb3c6a43d15b907e8433077b6d38ae40936fe2c,0x0b5003e974235fba062d2f3e11f11566c0c68bd4eecd93d7329b7d89ef58f51f,0x1220e048b0174ad09a2ab8cade8845f444d44e54,imx,,Port Authority,,https://card.godsunchained.com/?id=934&q=4,"{'god': 'deception', 'set': 'trial', 'mana': 6, 'name': 'Port Authority', 'type': 'card', 'image': 'https://card.godsunchained.com/?id=934&q=4', 'proto': 934, 'tribe': 'guild', 'attack': 7, 'effect': 'Roar: If you control another Guild creature, add a copy of two random cards from your opponent’s deck to your hand.', 'health': 3, 'rarity': 'common', 'quality': 'Meteorite'}","{'name': 'Gods Unchained', 'icon_url': None}",2021-05-04T19:34:28.329972Z,2021-05-04T19:35:08.178602Z,deception,trial,6,card,https://card.godsunchained.com/?id=934&q=4,934,guild,7,"Roar: If you control another Guild creature, add a copy of two random cards from your opponent’s deck to your hand.",3,common,Meteorite,1e-05,0.041775200000000005
